match_id,game_version,placement,level,gold_left,last_round,time_eliminated,total_damage_to_players,players_eliminated,trait_TFT16_Brawler,trait_TFT16_Juggernaut,trait_TFT16_KindredUnique,trait_TFT16_Magus,trait_TFT16_Piltover,trait_TFT16_Rapidfire,trait_TFT16_Zaun,unit_0_name,unit_0_tier,unit_1_name,unit_1_tier,unit_2_name,unit_2_tier,unit_3_name,unit_3_tier,unit_4_name,unit_4_tier,unit_5_name,unit_5_tier,unit_5_item_0,unit_5_item_1,unit_5_item_2,unit_6_name,unit_6_tier,unit_6_item_0,unit_6_item_1,unit_6_item_2,unit_7_name,unit_7_tier,unit_7_item_0,unit_7_item_1,unit_7_item_2,unit_8_name,unit_8_tier,unit_8_item_0,unit_8_item_1,unit_8_item_2,trait_TFT16_Harvester,trait_TFT16_ShadowIsles,trait_TFT16_ShyvanaUnique,trait_TFT16_Vanquisher,trait_TFT16_Warden,unit_4_item_0,unit_4_item_1,trait_TFT16_AurelionSolUnique,trait_TFT16_Defender,trait_TFT16_Demacia,trait_TFT16_Heroic,trait_TFT16_Sorcerer,trait_TFT16_Targon,unit_3_item_0,unit_3_item_1,unit_3_item_2,trait_TFT16_Blacksmith,trait_TFT16_Chronokeeper,trait_TFT16_Invoker,trait_TFT16_Yordle,unit_1_item_0,unit_1_item_1,unit_1_item_2,trait_TFT16_Ionia,trait_TFT16_TheBoss,trait_TFT16_Huntress,unit_0_item_0,unit_0_item_1,unit_0_item_2,unit_2_item_0,unit_2_item_1,unit_2_item_2,trait_TFT16_Emperor,trait_TFT16_Shurima,trait_TFT16_SylasTrait,trait_TFT16_Gunslinger,unit_4_item_2,trait_TFT16_Bilgewater,trait_TFT16_Slayer,trait_TFT16_Void,trait_TFT16_DarkinWeapon,trait_TFT16_Soulbound,trait_TFT16_ZaahenTrait,unit_9_name,unit_9_tier,unit_9_item_0,trait_TFT16_KaisaUnique,trait_TFT16_Longshot,trait_TFT16_Glutton,trait_TFT16_Caretaker,trait_TFT16_Explorer,trait_TFT16_Freljord,trait_TFT16_Noxus,trait_TFT16_RuneMage,trait_TFT16_XerathUnique,unit_10_name,unit_10_tier,unit_11_name,unit_11_tier,unit_11_item_0,unit_11_item_1,unit_11_item_2,trait_TFT16_Teamup_JarvanShyvana,trait_TFT16_AatroxUnique,unit_9_item_1,unit_9_item_2,trait_TFT16_BaronUnique,trait_TFT16_DarkChild,unit_10_item_0,unit_10_item_1,unit_10_item_2,trait_TFT4_Blacksmith,trait_TFT4_Brawler,trait_TFT4_Elderwood,trait_TFT4_Mage,trait_TFT4_Fabled,trait_TFT4_Vanguard,trait_TFT4_Adept,trait_TFT4_Divine,trait_TFT4_Duelist,trait_TFT4_Enlightened,trait_TFT4_Exile,trait_TFT4_Ninja,trait_TFT4_Emperor,trait_TFT4_Executioner,trait_TFT4_Keeper,trait_TFT4_Spirit,trait_TFT4_Warlord,trait_TFT4_Mystic,trait_TFT4_Assassin,trait_TFT4_Slayer,trait_TFT16_HexMech,unit_12_name,unit_12_tier,unit_12_item_0,unit_12_item_1,unit_12_item_2,trait_TFT16_Teamup_AmbessaKindred,trait_TFT4_Dragonsoul,trait_TFT4_Fortune,trait_TFT4_Boss,trait_TFT4_Cultist,trait_TFT4_Syphoner,trait_TFT4_Sharpshooter,trait_TFT4_Daredevil,unit_13_name,unit_13_tier
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,1,9,5,34,1968.688720703125,145,3,2.0,2.0,1.0,2.0,2.0,2.0,7.0,TFT16_Blitzcrank,2.0,TFT16_Vi,2.0,TFT16_Ekko,2.0,TFT16_DrMundo,2.0,TFT16_Seraphine,2.0,TFT16_Singed,2.0,TFT16_Item_BrawlerEmblemItem,Evenshroud,Spirit Visage,TFT16_Warwick,2.0,Kraken's Fury,Bloodthirster,Titan's Resolve,TFT16_Kindred,2.0,Thief's Gloves,Infinity Edge,Red Buff,TFT16_Ziggs,2.0,Morellonomicon,Spear of Shojin,Jeweled Gauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,4,9,11,31,1800.434814453125,113,1,,,,2.0,2.0,,,TFT16_Yorick,2.0,TFT16_Loris,2.0,TFT16_Gwen,2.0,TFT16_Seraphine,2.0,TFT16_Braum,2.0,TFT16_Kalista,2.0,Striker's Flail,Spear of Shojin,Last Whisper,TFT16_Fiddlesticks,2.0,,,,TFT16_Shyvana,2.0,,,,TFT16_Thresh,2.0,Morellonomicon,Giant Slayer,Ionic Spark,1.0,4.0,1.0,2.0,4.0,Protector's Vow,Dragon's Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,6,8,42,28,1637.8424072265625,72,1,,2.0,,,,,,TFT16_JarvanIV,2.0,TFT16_XinZhao,2.0,TFT16_Poppy,2.0,TFT16_Taric,2.0,TFT16_Garen,2.0,TFT16_Lux,2.0,Spear of Shojin,,,TFT16_Swain,2.0,,,,TFT16_AurelionSol,1.0,TFT16_Item_SorcererEmblemItem,Spear of Shojin,Jeweled Gauntlet,TFT16_Galio,1.0,,,,,,,,,Protector's Vow,Sterak's Gage,1.0,2.0,7.0,1.0,3.0,2.0,Dragon's Claw,TFT16_Item_DemaciaEmblemItem,Steadfast Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,8,9,10,23,1313.025390625,14,0,,2.0,,,,,,TFT16_Rumble,1.0,TFT16_Teemo,3.0,TFT16_Poppy,2.0,TFT16_Nautilus,1.0,TFT16_Kobuko,2.0,TFT16_Kennen,2.0,Steadfast Heart,Chain Vest,,TFT16_Fizz,2.0,Thief's Gloves,Adaptive Helm,Warmog's Armor,TFT16_Ornn,2.0,Sunfire Cape,,,TFT16_Zilean,1.0,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,1.0,2.0,6.0,Morellonomicon,Void Staff,Spear of Shojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,7,8,0,27,1572.3624267578125,59,0,2.0,,,,2.0,2.0,,TFT16_Shen,1.0,TFT16_XinZhao,1.0,TFT16_Loris,2.0,TFT16_Ahri,2.0,TFT16_Kennen,2.0,TFT16_Wukong,2.0,Protector's Vow,Warmog's Armor,,TFT16_Yunara,2.0,Guinsoo's Rageblade,Titan's Resolve,Infinity Edge,TFT16_Sett,1.0,TFT16_Item_SorcererEmblemItem,Jeweled Gauntlet,Giant Slayer,,,,,,,,,,2.0,TFT16_Item_PiltoverEmblemItem,,,,,,2.0,,TFT16_Item_RapidfireEmblemItem,Jeweled Gauntlet,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,5,8,3,30,1729.1688232421875,88,0,,2.0,,2.0,2.0,,3.0,TFT16_Neeko,3.0,TFT16_Vi,2.0,TFT16_Ekko,3.0,TFT16_Taric,1.0,TFT16_Seraphine,1.0,TFT16_Singed,1.0,,,,TFT16_Nidalee,2.0,Jeweled Gauntlet,Quicksilver,Giant Slayer,TFT16_Swain,1.0,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,1.0,Sunfire Cape,Ionic Spark,Adaptive Helm,Guinsoo's Rageblade,TFT5_Item_TitansResolveRadiant,Hand Of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,3,9,1,33,1902.398193359375,108,1,,,,2.0,2.0,,,TFT16_Vi,1.0,TFT16_Zoe,2.0,TFT16_Taric,2.0,TFT16_Seraphine,1.0,TFT16_Nasus,1.0,TFT16_Swain,1.0,,,,TFT16_Azir,1.0,,,,TFT16_AurelionSol,2.0,Nashor's Tooth,Nashor's Tooth,Jeweled Gauntlet,TFT16_Sylas,2.0,Jeweled Gauntlet,Hand Of Justice,Striker's Flail,,,,,,TFT7_Item_ShimmerscaleMogulsMail,Chain Vest,1.0,2.0,,,2.0,3.0,,,,,,,,Spear of Shojin,TFT7_Item_ShimmerscaleGamblersBlade,,,,,,,,Sunfire Cape,Dragon's Claw,Warmog's Armor,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7702387332,Linux Version 16.2.740.1491 (Jan 21 2026/11:19:28) [PUBLIC] <Releases/16.2>,2,9,2,34,1968.688720703125,129,0,2.0,2.0,1.0,,,2.0,7.0,TFT16_Jinx,2.0,TFT16_DrMundo,2.0,TFT16_Wukong,1.0,TFT16_Singed,2.0,TFT16_Warwick,2.0,TFT16_Swain,2.0,TFT16_Item_ZaunEmblemItem,TFT16_Item_DemaciaEmblemItem,Protector's Vow,TFT16_Kindred,1.0,TFT16_Item_ZaunEmblemItem,Deathblade,,TFT16_Fiddlesticks,1.0,,,,TFT16_Ziggs,1.0,Rabadon's Deathcap,Guinsoo's Rageblade,Spear of Shojin,1.0,,,,,Sterak's Gage,Titan's Resolve,,,,,,,TFT16_Item_BilgewaterEmblemItem,,,,,,,,,,,,,Infinity Edge,Gold Collector,Quicksilver,,,,,,,2.0,TFT16_Item_GunslingerEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7723271274,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,3,9,0,35,2118.68017578125,130,2,2.0,2.0,1.0,,,2.0,,TFT16_Shen,2.0,TFT16_Ahri,2.0,TFT16_Taric,2.0,TFT16_Wukong,2.0,TFT16_Yunara,2.0,TFT16_Swain,2.0,,,,TFT16_Kindred,1.0,,,,TFT16_Shyvana,2.0,Giant's Belt,Sterak's Gage,,TFT16_Sett,2.0,Hand Of Justice,Jeweled Gauntlet,Titan's Resolve,,,1.0,,,Infinity Edge,Guinsoo's Rageblade,,,,,2.0,1.0,Protector's Vow,Bramble Vest,Evenshroud,,,,,,,,5.0,1.0,,,,,,,,,,,,Titan's Resolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7723271274,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,6,8,6,31,1866.176025390625,94,0,2.0,,,,,2.0,,TFT16_JarvanIV,2.0,TFT16_TwistedFate,2.0,TFT16_Gangplank,2.0,TFT16_Ambessa,2.0,TFT16_Garen,2.0,TFT16_Wukong,1.0,,,,TFT16_BelVeth,2.0,Quicksilver,Hextech Gunblade,TFT16_Item_RapidfireEmblemItem,TFT16_RiftHerald,2.0,TFT16_Item_DemaciaEmblemItem,Evenshroud,Sunfire Cape,,,,,,,,,2.0,,,,,2.0,3.0,,,,Bloodthirster,TFT16_Item_ZaunEmblemItem,Hand Of Justice,,,,,,,,,,,TFT16_Item_BilgewaterEmblemItem,,,Titan's Resolve,Adaptive Helm,,,,,,,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUW1_7723271274,Linux Version 16.3.744.7656 (Feb 06 2026/10:38:53) [PUBLIC] <Releases/16.3>,1,9,1,37,2214.657958984375,139,3,,2.0,,,,,,TFT16_JarvanIV,2.0,TFT16_Poppy,2.0,TFT16_Taric,2.0,TFT16_Garen,2.0,TFT16_Lux,2.0,TFT16_Swain,2.0,,,,TFT16_Zilean,1.0,,,,TFT16_Lucian,2.0,Blue Buff,Guinsoo's Rageblade,Last Whisper,TFT16_Zaahen,2.0,Titan's Resolve,Bloodthirster,Infinity Edge,,,,,,Blue Buff,Recurve Bow,,2.0,6.0,1.0,2.0,1.0,Sterak's Gage,Protector's Vow,Evenshroud,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,TFT16_Galio,2.0,Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
